filename,total_pages,risk_start_page,risk_end_page,risk_pages,chars,words,n_tables,status,error
Paradeep_Phosphates_Ltd_.pdf,600,29,60,31,160750,24875,13,ok,
Paras_Defence___Space_Technologies_Ltd_.pdf,307,21,51,30,178861,27888,22,ok,
Park_Medi_World_Ltd_.pdf,581,38,84,46,256174,34804,380,ok,
Patel_Retail_Ltd_.pdf,659,44,115,71,257671,36708,224,ok,
PhysicsWallah_Ltd_.pdf,669,56,115,59,294395,43196,227,ok,
Pine_Labs_Ltd_.pdf,642,63,109,46,283736,42028,161,ok,
Platinum_Industries_Ltd_.pdf,492,41,86,45,196294,29511,125,ok,
Plaza_Wires_Ltd_.pdf,370,31,61,30,162850,24929,40,ok,
Polycab_India_Ltd_.pdf,634,21,52,31,166935,25835,38,ok,
Popular_Vehicles___Services_Ltd_.pdf,458,30,64,34,188218,27804,150,ok,
Powerica_Ltd_.pdf,508,35,87,52,304104,43734,215,ok,
Precision_Pipes___Profiles_Co_Ltd_.pdf,338,12,22,10,30093,4610,32,ok_A_strict,tried: A_strict=pp12-22
Premier_Energies_Ltd_.pdf,558,40,102,62,294183,41667,307,ok,
Prince_Pipes___Fittings_Ltd_.pdf,506,18,47,29,129923,20229,46,ok,
Prostarm_Info_Systems_Ltd_.pdf,540,37,92,55,228449,32240,306,ok,
Protean_eGov_Technologies_Ltd_.pdf,382,28,61,33,191423,28410,103,ok,
Prudent_Corporate_Advisory_Services_Ltd_.pdf,401,29,58,29,145465,22384,19,ok,
Pyramid_Technoplast_Ltd_.pdf,368,28,59,31,143741,21230,110,ok,
Quadrant_Future_Tek_Ltd_.pdf,515,38,91,53,239756,35307,205,ok,
Quality_Power_Electrical_Equipments_Ltd_.pdf,435,25,55,30,162835,24148,108,ok,
RBZ_Jewellers_Ltd_.pdf,435,31,75,44,199067,28889,187,ok,
R_K_SWAMY_Ltd_.pdf,503,34,70,36,177584,26160,71,ok,
R_R_Kabel_Ltd_.pdf,485,32,70,38,208418,30645,118,ok,
Radiant_Cash_Management_Services_Ltd_.pdf,454,30,60,30,150729,23350,34,ok,
RailTel_Corp_of_India_Ltd_.pdf,405,26,60,34,164020,25390,11,ok,
Rail_Vikas_Nigam_Ltd_.pdf,523,20,37,17,77769,12139,26,ok,
Rainbow_Children_s_Medicare_Ltd_.pdf,646,51,92,41,164909,24968,51,ok,
Rajputana_Stainless_Ltd_.pdf,542,44,99,55,228287,31968,267,ok,
Rashi_Peripherals_Ltd_.pdf,522,36,85,49,243720,35613,208,ok,
Rategain_Travel_Technologies_Ltd_.pdf,378,26,61,35,185893,28386,9,ok,
Ratnaveer_Precision_Engineering_Ltd_.pdf,457,35,81,46,193992,29424,80,ok,
Regaal_Resources_Ltd_.pdf,573,35,77,42,181082,26234,208,ok,
Rishabh_Instruments_Ltd_.pdf,521,34,88,54,274409,38736,164,ok,
Rolex_Rings_Ltd_.pdf,351,24,51,27,129864,19993,11,ok,
Rossari_Biotech_Ltd_.pdf,363,26,55,29,142712,21891,16,ok,
Route_Mobile_Ltd_.pdf,468,25,57,32,156060,24037,10,ok,
Rubicon_Research_Ltd_.pdf,626,34,97,63,287609,42248,197,ok,
SAMHI_Hotels_Ltd_.pdf,570,35,82,47,220827,33462,95,ok,
SBFC_Finance_Ltd_.pdf,576,30,67,37,179478,26299,172,ok,
SBI_Cards___Payment_Services_Ltd_.pdf,485,30,59,29,148823,22895,18,ok,
SEDEMAC_Mechatronics_Ltd_.pdf,582,36,83,47,255610,35298,276,ok,
SRM_Contractors_Ltd_.pdf,424,34,78,44,186891,27364,117,ok,
S_J_S_Enterprises_Ltd_.pdf,361,27,61,34,183449,28147,18,ok,
Saatvik_Green_Energy_Ltd_.pdf,618,55,91,36,181667,26762,182,ok,
Sagility_India_Ltd_.pdf,494,43,78,35,168555,24270,133,ok,
Sah_Polymers_Ltd_.pdf,377,29,67,38,210248,31272,138,ok,
Sai_Life_Sciences_Ltd_.pdf,445,28,69,41,236491,32086,324,ok,
