company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
DEE Development Engineers Ltd.,2024,2024-06-26,0.6502463054187192,DEE_Development_Engineers_Ltd_,277087,43346,92,92,0,,False,0,11,2,0,0,0,0,7,5,0,9,10,14,0,0,ok,ok
Akme Fintrade (India) Ltd.,2024,2024-06-26,0.0995833333333332,Akme_Fintrade__India__Ltd_,146448,23012,63,63,0,,False,1,7,0,0,0,1,0,0,1,0,8,5,0,0,0,ok,ok
Stanley Lifestyles Ltd.,2024,2024-06-28,0.2845528455284553,Stanley_Lifestyles_Ltd_,207296,32005,83,83,0,,False,0,7,3,1,0,1,0,2,12,0,9,8,2,0,1,ok,ok
Allied Blenders & Distillers Ltd.,2024,2024-07-02,0.1311387900355872,Allied_Blenders___Distillers_Ltd_,230303,35654,92,92,0,,False,5,10,1,0,0,1,0,5,6,0,11,13,5,0,3,ok,ok
Vraj Iron & Steel Ltd.,2024,2024-07-03,0.2171497584541062,Vraj_Iron___Steel_Ltd_,167168,25777,66,67,1,1,False,1,3,0,1,0,0,1,0,5,1,5,9,0,1,0,ok,ok
Bansal Wire Industries Ltd.,2024,2024-07-10,0.368359375,Bansal_Wire_Industries_Ltd_,157026,24234,45,65,20,"1,2,3,9,15,18,20,21,23,24,26,27,29,30,33,36,37,38,39,40",False,0,2,0,8,0,0,0,0,9,0,5,10,0,0,0,ok,ok
Emcure Pharmaceuticals Ltd.,2024,2024-07-10,0.3480654761904761,Emcure_Pharmaceuticals_Ltd_,263137,40764,83,83,0,,False,5,19,0,0,0,2,0,6,8,0,0,15,10,0,3,ok,ok
Sanstar Ltd.,2024,2024-07-26,0.2114736842105263,Sanstar_Ltd_,201196,31495,90,90,0,,False,0,4,2,1,0,1,2,0,1,0,8,6,3,0,0,ok_E_standalone,ok_patched
Akums Drugs & Pharmaceuticals Ltd.,2024,2024-08-06,0.1728276877761414,Akums_Drugs___Pharmaceuticals_Ltd_,203775,31334,81,81,0,,False,0,22,0,0,0,1,0,0,5,0,5,18,2,0,0,ok,ok
Ceigall India Ltd.,2024,2024-08-08,-0.0372817955112219,Ceigall_India_Ltd_,201419,31556,73,73,0,,False,2,4,0,0,0,0,0,0,6,1,8,5,7,0,0,ok,ok
Ola Electric Mobility Ltd.,2024,2024-08-09,0.1997368421052632,Ola_Electric_Mobility_Ltd_,253633,39724,105,105,0,,False,1,7,0,2,0,2,0,0,8,0,8,12,0,2,0,ok,ok
Brainbees Solutions Ltd.,2024,2024-08-13,0.4586021505376344,Brainbees_Solutions_Ltd_,234785,36232,84,84,0,,False,2,3,0,0,0,0,6,1,7,0,8,20,0,4,0,ok,ok
Unicommerce eSolutions Ltd.,2024,2024-08-13,0.9449074074074076,Unicommerce_eSolutions_Ltd_,193816,29989,73,77,4,"18,19,28,29",False,2,4,0,0,0,1,0,0,0,0,10,6,0,0,0,ok,ok
Saraswati Saree Depot Ltd.,2024,2024-08-20,0.3121874999999999,Saraswati_Saree_Depot_Ltd_,166683,26045,77,77,0,,False,0,7,0,0,0,1,0,0,0,0,13,6,1,0,5,ok,ok
Interarch Building Products Ltd.,2024,2024-08-26,0.3283888888888888,Interarch_Building_Products_Ltd_,227406,35622,83,83,0,,False,9,6,0,2,0,1,0,4,6,0,13,13,2,0,10,ok,ok
Orient Technologies Ltd.,2024,2024-08-28,0.4779126213592232,Orient_Technologies_Ltd_,140330,21990,78,78,0,,False,0,2,6,0,0,2,0,0,5,0,6,5,0,0,0,ok,ok
Premier Energies Ltd.,2024,2024-09-03,0.8658888888888888,Premier_Energies_Ltd_,244281,37785,94,94,0,,False,1,4,8,6,0,3,0,0,7,0,9,5,0,0,0,ok,ok
